mandante,visitante,resultado
Figueirense,Sao Caetano,casa
Criciuma,Goias,casa
Juventude,Atletico-MG,empate
Ponte Preta,Coritiba,empate
Gremio,Botafogo-RJ,empate
Sao Paulo,Parana,empate
Fluminense,Vitoria,casa
Corinthians,Guarani,casa
Botafogo-RJ,Figueirense,empate
Paysandu,Gremio,fora
Internacional,Goias,casa
Coritiba,Atletico-MG,fora
Santos,Palmeiras,fora
Flamengo,Fluminense,fora
Sao Caetano,Vasco,casa
Parana,Ponte Preta,fora
Criciuma,Vitoria,casa
Juventude,Guarani,casa
Corinthians,Athletico-PR,fora
Cruzeiro,Sao Paulo,casa
Fluminense,Criciuma,empate
Ponte Preta,Juventude,fora
Figueirense,Paysandu,empate
Palmeiras,Coritiba,casa
Vitoria,Internacional,casa
Atletico-MG,Santos,empate
Vasco,Botafogo-RJ,casa
Sao Paulo,Corinthians,empate
Guarani,Parana,casa
Goias,Flamengo,empate
Athletico-PR,Cruzeiro,casa
Gremio,Sao Caetano,fora
Fluminense,Guarani,empate
Parana,Botafogo-RJ,empate
Internacional,Atletico-MG,casa
Sao Paulo,Gremio,casa
Goias,Corinthians,empate
Palmeiras,Vasco,empate
Cruzeiro,Paysandu,casa
Coritiba,Sao Caetano,casa
Criciuma,Juventude,casa
Ponte Preta,Figueirense,fora
Flamengo,Athletico-PR,casa
Vitoria,Santos,fora
Gremio,Coritiba,empate
Athletico-PR,Vitoria,fora
Vasco,Parana,empate
Figueirense,Cruzeiro,empate
Sao Caetano,Palmeiras,empate
Corinthians,Flamengo,empate
Botafogo-RJ,Ponte Preta,fora
Paysandu,Sao Paulo,casa
Guarani,Criciuma,casa
Juventude,Goias,empate
Santos,Internacional,casa
Atletico-MG,Fluminense,casa
Sao Caetano,Juventude,casa
Criciuma,Gremio,fora
Coritiba,Parana,empate
Flamengo,Figueirense,fora
Santos,Guarani,casa
Internacional,Vasco,fora
Juventude,Corinthians,casa
Botafogo-RJ,Fluminense,empate
Palmeiras,Sao Paulo,casa
Paysandu,Vitoria,casa
Goias,Sao Caetano,casa
Ponte Preta,Cruzeiro,casa
Atletico-MG,Athletico-PR,fora
Internacional,Criciuma,casa
Sao Paulo,Ponte Preta,casa
Athletico-PR,Juventude,casa
Figueirense,Vasco,empate
Vitoria,Goias,empate
Guarani,Atletico-MG,empate
Fluminense,Gremio,casa
Parana,Palmeiras,fora
Sao Caetano,Botafogo-RJ,fora
Corinthians,Santos,fora
Flamengo,Paysandu,casa
Cruzeiro,Coritiba,fora
Sao Paulo,Atletico-MG,casa
Goias,Fluminense,casa
Gremio,Figueirense,empate
Vasco,Vitoria,casa
Botafogo-RJ,Internacional,casa
Parana,Athletico-PR,casa
Cruzeiro,Guarani,casa
Palmeiras,Juventude,casa
Paysandu,Sao Caetano,empate
Criciuma,Flamengo,empate
Ponte Preta,Santos,fora
Coritiba,Corinthians,fora
Ponte Preta,Guarani,casa
Internacional,Gremio,casa
Santos,Sao Paulo,casa
Vitoria,Botafogo-RJ,casa
Flamengo,Vasco,fora
Juventude,Coritiba,casa
Goias,Paysandu,casa
Corinthians,Parana,casa
Athletico-PR,Palmeiras,empate
Figueirense,Criciuma,casa
Fluminense,Sao Caetano,casa
Atletico-MG,Cruzeiro,casa
